Obverse,Reverse,tag
a-,"1、无、不、非
acentric      无中心的
asocial       不好社交的
atypical      非典型的
asymmetry   不对称
adynamic     无力的
aperiodic     非周期的
amoral       非道德性的
asexual      无性别的
apolitical     不关心政治的
ahistorical    与历史无关的
2、含有in,on,at,by,with,to,of等意义
asleep       在熟睡中
aside        在一边
abed        在床上
ashore       向岸上，在岸上
afield        在田里，在野外
aground      在地面上，搁浅
ahead        向前，在前头
abreast       肩并肩地
afoot         徒步
atop          在顶上
afire         在燃烧中
aback        向后
3、加强意义
aloud        高声地
awake       唤醒，使醒
await        等待
arise        起来，升起
afar         遥远地
aright        正确地
aweary      疲倦的，厌倦的
ashamed     羞耻的
alike         相同的（地）
awash       被浪潮冲打的
anelectric     不起电的
anarchism    无政府主义
2、加强或引申意义
annotate      注解
announce     宣布，通告
annihilate      消灭
annul         使无效，废除
",prefix
ante-前、先,"anteroom     前室，接待室
anteport      前港，外港
antemeridian  午前的
antenatal      出生前的
antechamber  前厅
antetype      原型
antedate      比实际早的日期
antestomach   前胃
antenuptical    婚前的
antecessor     先行者，先驱者
",prefix
anti-反对、相反、防止,"antiwar        反战的
anti-imperialist  反帝的
antiforeign     反外的，排外的
antislavery     反奴隶主义
antiaircraft     防空袭的
anticontagious  防止传染的
antitank        反坦克的
antiageing      防衰老的
anti-colonial    反殖民主义的
antigas        防毒气的
antifat         防止肥胖的
antinoise      防嗓音的
antimissile     反导弹的
",prefix
ap-加强或引申意义,"appoint        指定、任命
appease       平息，绥靖
approximate    近似的
appraise       评价
apposition     并置，同位
apprehension  理解，领悟
",prefix
apo-离开（亦作ap-）,"apogee        远地点
apology       道歉，解释开
apostasy      脱党，叛教
aphelion      （天文）远日点
",prefix
"ar-含有at,to之意，或表示加强及引申意义","arrange      安排，布置
arrect        直立的
arrear        在后，拖延
arrive        到达
",prefix
"as-含有at,to之意或表示加强或引申意义","assimilate    同化
assort       分类
assure       使确信，担保
associate     联合，结合
ascertain     确定，查明
assign       指定，分派
",prefix
"at-含有at,to之意，或表示加强或引申意义","attrap        使入陷阱
attune        调定声音，合调
attract       吸引
attest        证明
",prefix
auto-自己，自动,"autocriticsm   自我批评
autorotation   自动旋转
autobiography 自传
autoalarm     自动报警器
autosuggestion 自我暗示
autoinfection   自体感染
anto-timer　　　自动定时器
autobike       机器脚踏车
",prefix
be-,"１、使…、使成为…
belittle         使缩小，贬低
befriend       以朋友相待
becalm        使镇静
befool         欺骗，愚弄
bedim         使模糊不清
bedevil        使着魔
benumb　　　 使麻木
bemuse       使发呆
2、加以…、饰以…、用…（做某事）
bepowder     在…上撒粉
bejewel       饰以珠宝
becloud       遮蔽，遮暗
bedew        沾湿
3、在
beside        在…旁边
behind        在…后面
below        在…下面
before        在…以前
4、加强或引申意义
befall         降监，发生
bespatter      溅污
bethink       想起，思考
belaud        大加赞扬
befit          适合，适宜
bemoan       悲叹，衰泣
besiege       包围，围攻
bedeck        装饰，修饰
bedaub       涂污，乱涂
besprinkle    泼，洒
bepaint       着色，画
besmirch     弄脏，玷污
",prefix
bene-善、好,"benevolent   善心的，慈善的
benediction   祝福
beneficent   行善的
benefaction   恩惠，善行
",prefix
bi-两、二,"biweekly     双周刊
bilingual     两种语言的
bicolour     两色的
bimonthly    双月刊
bisexual     两性的
bipolar      两极的，双向的
biplanc     双翼飞机
bicycle      自行车
bimetal      双金属
biform       有二形的
bilateral     双边的
bifacial      两面一样的
",prefix
by-旁、侧，非正式，副,"byroad      小路，僻径
by-product   副产品
bywork      业余工作
byname     别名，绰号
bystreet     旁街，僻街
by-business  副业
bypath       小道，僻径
bytime       余暇，闲暇
",prefix
circum-周围，环绕,"circumplanetary  环绕行星的
circumpolar      在两极周围的
cirumfluence     周流，环流
circumaviate     环球飞行
circumlunar      环绕月球
circumposition   周围排列
circumsolar      环绕太阳的
circumnavigate   环球航行
",prefix
co-共同,"cooperation      合作
coaction         共同行动
coeducation      男女同校
coagent         共事者
coexistence      共存，共处
co-worker        共同工作者
co-flyer          副飞行员
co-founder       共同创立者
cohabitation      同居，姘居
co-owner        共同所有人
corotation        共转
comate          同伴，伙伴
copartner        合伙人
coauthor         书的合著者之一
",prefix
col-共同,"collaboaration     协作，勾结
collingual         用同一种语言的
collinear          在同一直线上的
collocate         并置，并列
",prefix
com-,"1、共同
compatriot        同国人，同胞
combine         联合，结合
commiserate      同情
compassion       同情
commensal       共餐的
2、加强或引申意义
commove         使动乱
compress         压缩
commix           混合
commemorate     纪念
",prefix
con-,"1、共同
concolurous       同色的
connatural         同性质的
concentric        同一中心的
contemporary     同时代的
comcourse       合流，汇合
conjoin           联合，结合
condominate     共同管辖的
consanguineous  同血缘的
2、加强或引申意义
conclude        结束，终结
confirm         使坚定
consolidate      巩固，加强
condense       凝结，缩短
confront         使面对
convolution      旋绕，卷绕
contribute       贡献，捐献
configure        使具形体
",prefix
contra-反对，相反，相对,"contra-missle     反导弹导弹
contraposition    对照，针对
contraclockwise   逆时针方向的
contradistinction   对比的区别
contradict         反驳，相矛盾
",prefix
cor-,"1、共同，互相
correlation       相互关系
corradiate       使（光线）共聚于一点
correspond      符合，相应，通信
2、加强或引申意义
correct          改正，纠正
corrupt          腐败，败坏
corrival          竞争者，竞争的
corrugate        使起皱纹
",prefix
counter-反对，相反,"counterrevolution 反革命
countermarch    反方向行进
counterattack    反攻，反击
countercurrent    逆流
countermove     反向运动
counteroffensive  反攻
counterspy       反间谍
counterblast      逆风
counterdemand   反要求
counteraction     反作用
countertrend     反潮流
counterwork      对抗行动
counterplot       反计，将计就计
countereffect     反效果
counterevidence  反证
countercharge    反诉，反告
",prefix
de-,"1、否定，非，相反
denationalize      非国有化
destruction        破坏
demilitarize        使非军事化
demobilize        复员（与mobilize相反）
decolonize        使非殖民化
depoliticize        使非政治化
dement           缺点（非优点）
deemphasize      使不重要
decompose       分解（与compose相反）
dechristianize     非基督教
dematerialize      非物质化
2、除去，取消，毁
desalt             除去盐分
deforest          砍伐森林
decontrol         取消管制
deface            毁…的外观
dewater          除去水分
decolour         使退色
de-ink            除去污迹
de-oil            脱除油脂
defog            清除雾气
depollution       消除污染
defrost           除霜，解冻
decode          解（译）密码
decamp          撤营
degas            消除毒气，排气
deflower         摘花
decivilize         使丧失文明
3、离开
detrain           下火车
dethrone         使离王位
deplane          下飞机
derail            使（火车）出轨
4、向下，降低，减少
depress          压低，压下
depopulation      人口减少
devalue          降低价值，贬值
declass          降低社会地位
5、使成…、作成…、或仅作加强意义
delimit            划定界限
denude           使裸露
depicture         描绘，描述
design            计划，设计
",prefix
deca-十,"decasyllable       十音节词
decagon          十角形
decameter        十米
decagram         十克
",prefix
deci-十分之一,"decigram          十分之一克
deciliter           十分之一升，分升
decimeter         十分之一米，分米
deciare           十分之一公亩
",prefix
demi-半,"demigod          半神半人
demiwolf          半似狼之犬
demi-fixed        半固定的
demidevil          半恶魔
demitint           （绘画）半浓半淡
demilune          半月，新月
",prefix
di-二，双,"diatomic         二原子的
dichromatic      两色的
disyllable        双音节词
dioxide         二氧化物
ditheism        二神论
diacid          二酸
digamy         二婚，再婚
diarchy         双头政治
",prefix
dia-贯通，对穿，透过，相对,"diagonal        对角线
dialogue        对话
diameter        直径
diathermal      透热的
",prefix
dif-分开，否定，不,"diffluence       分流
differ           不同，相异
diffident        不自信的
diffuse         散开，散布
",prefix
dis-,"1、不、无、相反
dislike          不喜欢
disagree        不同意
discontinue     不继续，中断
disorder        无秩序，混乱
disproof        反证
disbelieve      不相信
dispraise       贬损，非难
dishonest      不诚实的
disremember   忘记
disappear      不见，消失
disability       无能，无力
discomfort      不舒服
2、取消，除支、毁
disforest        砍伐森林
disroot         拨根，根除
discourage     使失去勇气
disrobe         脱衣
disarm         解除武装，裁军
disbearren     使失去信心
disburden      解除负担
discolour       （使）褪色
3、加在含有“分开”、“否定”等意义的单词之前，dis-则作加强意义
dispart         分离，裂开
dissemination   散布，传播
dissever        分裂，切断
disannul        使无效，废除
4、分开、离、散
dissect         切开
dissolve        分离，溶解
distract         分心
dispense       分配
dispel          驱散
dissipate       驱散
[注]dis-有时作di-，如：
dispirit          使气馁，使沮丧
divert           使转向
digress         离正题，入歧路
divorce         离婚
divest          脱…的衣服
",prefix
dys-不良、恶、困难,"dysfunction      机能失调
dysphonia       发音困难
dyspepsia       消化不良
dyspathy        反感
dysgenesis      生殖力不良
dysopsy         视力弱，弱视
",prefix
e-,"1、加强或引申意义、使…
evaluate         评价
elongate         使延长，拉长
estop           阻止，禁止
estrange        使疏远
evanish         消失，消散
elaborate       努力制作
especially       特别，格外
evaporate       蒸发
2、出、外
eject           投出，掷出
emigrate       移居国外
elect          选出
emerge        浮出，出现
erupt          喷出
evade         逃出
3、除去
eradicate      除根，根除
emasculate    割除睾丸
",prefix
ef-出、离去,"effluence      流出
effoliation      落叶
efflation       吹出，吹出之物
effable        能被说出的
",prefix
em-,"1、表示“置于…之内”、“上…”
embay         使（船）入湾
embus        装入车中，上车
embosom      藏于胸中，怀抱
emplane       乘飞机
embog        使陷入泥沼中
embed        安置（ad in a bed）
2、表示“用…做某事”、“饰以…”、“配以…”
embalm       涂以香料
emblazon      饰以纹章
embank       筑提防护
embar        上门闩
3、表示“使成某种状态”、“致使…”、“使之如…”、“作成…”
embow        使成弓形
empower      使有权力，授权
empurple      使发紫
embody       体现，使具体化
embitter       使苦
embrown      使成褐色
",prefix
en-,"1、表示“置于…之中”、“登上…”、“使上…”
encage        关入笼中
entrain        上火车
encase        装入箱中
enplane       上飞机
encave        藏于洞中
enthrone      使登上王位
enroll         记入名册中
enshrine      藏于神龛中
2、表示“用…来做某事”、“饰以…”、“配以…”
entrap         用陷阱诱捕
enwreathe     饰以花环
enchain        用链锁住
enlace         用带缚，捆扎
encloud        阴云遮蔽
3、表示“使成某种状态”、“致使…”、“使之如…”、“作成…”
enlarge        使扩大，广大
endanger      使遭危险
ensphere      使成球形
encrimson     使成深红色
enrage        激怒
encircle        作成一圈，包围
endear        使受喜爱
ennoble       使成贵族，使高贵
encipher      译成密码
enfeeble       使衰弱
encamp        使扎营
ensky         使耸入天际，把…捧上天
encash        使兑成现金
enslave       使成奴隶，奴役
enable        使能够
encourage     使有勇气
4、加在动词之前、表示“in”，或只作加强意义
enclose        围入，关进
entrust        信托，委托
enfold         包入
enkindle       点火
enwrap        包入，卷入
enlighten       启发，开导
enwind        缠绕
enlink          把…连结起来
entangle        缠住，套住
engird         卷，缠
endamage      损坏，损害
engorge        大吃，吞吃
enclothe        给…穿衣服
",prefix
endo-内,"endoparasite    体内寄生虫
endolymph      内淋巴
endogen       内生植物
endogamy      （同族）内部通婚
",prefix
ennea-九,"enneasyllable    九音节
enneahedron    （数学）九面体
enneagon       （数学）九角形
",prefix
eu-优、善、好,"eugenics        优生学
euphonic        声音优美的
eulogize        赞美
eupepsia       消化良好
euphemism     婉词，婉言
euthenics      优境学
",prefix
