Obverse,Reverse,tag
-ability[名词后缀],"由-able+-ity而，构成抽象名词，表示“可...性”、“易...性”、“可...”
knowability      可知性
changeability    可变性
readability      可读性
lovability        可爱
usability        可用性，能用
dependability   可靠性
movability      可移动性
preventability   可防止
inflammability   易燃性
adaptability     可适应性
",suffix
-able[形容词后缀],"表示“可...的”、“能...的”，或具有某种性质的
knowable       可知的
changeable     可变的
readable        可读的
lovable         可爱的
usable         能用的
dependable     可靠的
movable         可移动的
preventable     可防止的
inflammable     易燃的
adaptable       可适应的
",suffix
-ably[副词后缀],"由-able转成，表示“可...地”、“...地”


peaceably       和平地
suitably         合适地
laughably       可笑地
dependably     可靠地
comfortably     舒适地
changeably      可变地
movably         可移动地
lovably         可爱地
comparably     可比较地
honourably      光荣地
",suffix
-aceous[形容词后缀],"表示有...性质的、属于...的、如...的、具有...的
rosaceous      玫瑰色的
curvaceous     （妇女）有曲线美的
herbaceous     草本的
foliaceous       叶状的
olivaceous      （似）橄榄的
carbonaceous   含碳的
crustaceous     皮壳的
orchidaceous    似兰花的
",suffix
-acious[形容词后缀],"表示有...性质的、属于...的、如...的、具有...的
rapacious        掠夺的
vivacious        活泼的，有生气的
sagacious       聪明的
capacious       容量大的
sequacious      盲从的
loquacious      多言的
veracious       真实的
edacious       贪吃的
audacious       胆大的
",suffix
-acity[名词后缀],"构成抽象名词，表示性质、状态、情况、与形容词后缀-acious相对应
rapacity        掠夺
vivacity        活泼，有生气
sagacity        聪明，贤明
veracity        诚实，真实
capacity        容量
audacity       大胆
laoqucity       多言，健谈
edacity        贪吃
sequacity      盲从
",suffix
-acle[名词后缀],"构成实物名词及抽象名词
receptacle       容器，花托
miracle          奇迹
manacle         手铐
obstacle         障碍
spiracle          通气孔
tentacle         触角，触须
spectacle        景物
pentacle         五角星形
",suffix
-acy[名词后缀],"构成抽象名词、表示性质、状态、行为、职权等
determinacy      确定性
conspiracy       阴谋、密谋
supremacy       至高，无上
candidacy        候选人的地位
literacy          识字
priavacy         隐居
intimacy         亲密
accuracy        精确
",suffix
-ade[名词后缀],"1、表示行为、状态、事物
blockade        封锁
cannonade      炮击
masquerade     化装舞会
fusillade        一齐射击
gasconade      吹牛，夸口
fanfaronade     吹牛
2、表示物（由某种材料制成者或按某种形状制成者）
orangeade      桔子水
cockade        帽章
stockade       栅栏，木篱
balustrade     （一行）栏杆
lemonade      柠檬水
arcade         拱廓
3、表示参加某种行动的个人或集体
brigade        旅，队
renegade      叛徒，变节者
crusade       十字军
cavalcade      骑兵队
",suffix
-age[名词后缀],"1、表示集合名词、总称
wordage       文字，词汇量
percentage     百分比
tonnage       吨数，吨位
wattage        电的瓦数
mileage        英里数
herbage       草本植物
acreage       英亩数
leafage        叶子（总称）
assemblage    集合的人群
peerage       贵族（总称）
2、表示场所、地点
orphanage     孤儿院
village         村庄
anchorage     停泊所
cottage        村舍
hermitage      隐士住处
vicarage       牧师住所
passage       通道
pasturage      牧场
3、表示费用
postage        邮资
wharfage       码头税
railage         铁路运费
freightage      货运费
waterage       水运费
pilotage        领航费
cartage        车运费
towage        拖船费
expressage    快运费
porterage      搬运费
lighterage      驳运费
brokerage      经手费
haulage       （拖）运费
demurrage     滞留费
4、表示行为或行为的结果
marriage       结婚
rootage        生根
brigandage     强盗行为
breakage       破碎，破损
stoppage      阻止，阻塞
brewage       酿造
clearage       清除，清理
tillage         耕作，耕种
wastage       耗损
pilgrimage     朝圣
shrinkage      收缩，皱缩
storage        贮存，保管
5、表示状态、情况、身份及其他
shorage       短缺
parentage     出身，门第
pupilage      学生身份
advantage     利益
alienage      外国人身份
verbiage      冗词，赘语
visage        面貌
dotage       老年昏惯
reportage     报告文学
language      语言
6、表示物
roofage       盖屋顶的材料
roughage     粗粮，粗饲料
package      包裹
blindage      盲獐，掩体
bandage      绷带
wrappae      包装材料
carriage      马车，客车厢
droppage     落下物
altarage       祭坛的祭品
appendage    附属物
",suffix
-ain[名词后缀],"表示人
riverain        住在河边的人
villain          恶棍，坏人
captain        船长
chamberlain    财务管理人
chieftain       酋长，头子
chanpain       小教堂的牧师
",suffix
-aire[名词后缀],"表示人
millionaire      百分富翁
solitaire        独居者
billionaire      亿万富翁
commissionaire  看门人
occupationaire   军事占领人员
concessionaire  特许权所有人
doctrinaire      教条主义者
",suffix
-al①[形容词后缀],"表示属于...的、具有...性质的、如...的
personal         个人的
prepositional     介词的
autumnal         秋天的
national          国家的，民族的
emotional        感情上的
imaginal         想像的
global           全球的
coastal          海岸的
parental         父母的
invitational       邀请的
frontal           前面的，正面的
conversational    会话的
governmental     政府的
natural           自然（界）的
regional          地区的，局部的
continental       大陆的
educational       教育的
exceptional       例外的
②[名词后缀]
1、构成抽象名词，表示行为、状况、事情
refusal           拒绝
proposal         提议
withdrawal        撤退
recital           背诵
removal          移动，迁移
arrival           到达
renewal          更新
appraisal         评价
suuposal         想象，假定
dismissal         解雇，开除
survival          尚存，幸存
overbrowal       推翻，打倒
reviewal          复习
revival           再生，复活
approval         批准，赞成
trial              试验，尝试
2、表示人
criminal         犯罪分子
rival            竞争者
aboriginal       土人
rascal           恶棍，歹徒
corporal        班长，下士
arrival          到达者
3、表示物
mural           壁画
dial            日晷
manual         手册
hospital        医院
arsenal         武器库
urinal          尿壶，小便池
singal          信号
diagonal        对角线
",suffix
-ality[名词后缀],"复合后缀，由-al+-ity而成，构成抽象名词，表示状态、情况、性质、“...性”
personaility     个性，人格
logicality        逻辑性
nationality       国籍
criminality       有罪
exceptionality    特殊性
formality         拘泥形式
conditionality     条件性
emotionality      富于感情
commonality     公共，普通
technicality      技术性
",suffix
